IssueID,LPO_Number,ItemCode,IssueDate,IssuedTo,IssuedToID,IssuedBy,IssuedQuantity,UnitCost,TotalCost,IssueType,TransportMode,DeliveryStatus,WaybillNo,Remarks,Department,RequestID,BatchNo,ExpiryDate,StorageCondition,QualityCheck,IssuedFromWarehouse
ISS-000018,LPO-002236,MED-ISS-6783,2025-01-23,Pharmacy,REC-4147,Joe Williams,77,283.48,21827.96,Regular,Courier,Delivered,WB-46669,Temperature Sensitive,Laboratory,REQ-9611,BATCH-74556,2025-10-05,Frozen,Pending,Satellite Store
ISS-000019,LPO-006773,MED-ISS-6118,2025-11-19,Pharmacy,REC-3839,Laura Williams,6,490.96,2945.76,Regular,Sea,Partially Delivered,WB-44602,Urgent,Laboratory,REQ-8460,BATCH-73563,2026-11-10,Cold Chain,Failed,Main Warehouse
ISS-000020,LPO-005708,MED-ISS-6819,2025-06-30,Government Agency,REC-6137,Stephanie Johnson,97,112.87,10948.39,Return,Sea,Pending,WB-96030,Urgent,OPD,REQ-6866,BATCH-95617,2025-11-23,Room Temperature,Pending,Cold Storage
ISS-000021,LPO-006612,MED-ISS-5649,2025-06-13,Hospital,REC-5557,Christopher Jefferson,16,470.3,7524.8,Emergency,Courier,Partially Delivered,WB-54135,Controlled Substance,ER,REQ-5500,BATCH-83306,2025-12-19,Room Temperature,Pending,Cold Storage
ISS-000022,LPO-004881,MED-ISS-7530,2025-07-29,Pharmacy,REC-1985,Tiffany Smith,14,327.51,4585.14,Emergency,Courier,In Transit,WB-85410,Fragile,Laboratory,REQ-5720,BATCH-55207,2026-07-11,Cold Chain,Conditional,Satellite Store
ISS-000023,LPO-006741,MED-ISS-7472,2025-05-24,Government Agency,REC-5577,Jacqueline Gray,34,319.62,10867.08,Regular,Courier,In Transit,WB-39382,Fragile,OPD,REQ-8675,BATCH-40125,2026-03-03,Room Temperature,Failed,Dispatch Center
ISS-000024,LPO-006938,MED-ISS-1445,2025-11-02,Pharmacy,REC-3275,Alyssa Velazquez,37,257.7,9534.9,Regular,Road,Pending,WB-13668,Controlled Substance,Surgery,REQ-9469,BATCH-67711,2026-07-25,Room Temperature,Pending,Dispatch Center
ISS-000025,LPO-003869,MED-ISS-1835,2025-12-11,Clinic,REC-5111,Belinda Carter,55,88.79,4883.45,Emergency,Sea,Pending,WB-15260,Urgent,ICU,REQ-3566,BATCH-53864,2026-02-06,Frozen,Failed,Main Warehouse
ISS-000026,LPO-004916,MED-ISS-9923,2025-01-27,Government Agency,REC-4520,Amanda Hall,65,149.35,9707.75,Donation,Air,Delivered,WB-88465,Fragile,ICU,REQ-4659,BATCH-38851,2026-01-12,Frozen,Conditional,Main Warehouse
ISS-000027,LPO-005329,MED-ISS-9479,2025-03-08,Clinic,REC-8943,Abigail Stevenson,34,420.21,14287.14,Regular,Sea,Partially Delivered,WB-93203,,ER,REQ-2131,BATCH-99727,2025-08-01,Cold Chain,Passed,Dispatch Center
ISS-000028,LPO-000980,MED-ISS-4846,2025-08-03,Clinic,REC-9459,Judy Thomas,25,230.85,5771.25,Loan,Road,Pending,WB-41667,,Laboratory,REQ-5134,BATCH-39645,2025-09-08,Cold Chain,Pending,Dispatch Center
ISS-000029,LPO-005417,MED-ISS-5046,2025-08-13,Pharmacy,REC-6185,Robert Martin,27,195.77,5285.79,Regular,Air,Pending,WB-81796,,OPD,REQ-8877,BATCH-99010,2026-07-11,Cold Chain,Passed,Cold Storage
ISS-000030,LPO-001751,MED-ISS-6771,2025-08-26,NGO,REC-7984,Dr. Willie Patel DDS,89,25.8,2296.2,Loan,Air,Delivered,WB-33558,,ICU,REQ-2220,BATCH-26880,2025-12-17,Room Temperature,Conditional,Dispatch Center
ISS-000031,LPO-003584,MED-ISS-5661,2025-05-15,Pharmacy,REC-4208,Kiara Allen,27,83.85,2263.95,Return,Air,In Transit,WB-24497,Urgent,OPD,REQ-7904,BATCH-52903,2025-09-10,Frozen,Pending,Satellite Store
ISS-000032,LPO-005970,MED-ISS-5465,2025-06-13,Pharmacy,REC-6570,Rachel Sullivan,82,384.87,31559.34,Loan,Road,Partially Delivered,WB-75650,Fragile,Surgery,REQ-5848,BATCH-69858,2025-08-29,Frozen,Failed,Dispatch Center
ISS-000033,LPO-005044,MED-ISS-2347,2025-08-31,Clinic,REC-7385,Desiree Brown,27,241.89,6531.03,Loan,Road,Pending,WB-20199,Fragile,OPD,REQ-6160,BATCH-87257,2026-02-12,Refrigerated,Passed,Satellite Store
ISS-000034,LPO-004560,MED-ISS-8605,2025-08-01,NGO,REC-5026,Angela Owens,77,33.67,2592.59,Loan,Road,Partially Delivered,WB-80689,Temperature Sensitive,Maternity,REQ-1343,BATCH-70646,2026-03-13,Frozen,Passed,Cold Storage
ISS-000035,LPO-006019,MED-ISS-7002,2025-04-10,NGO,REC-2651,Eduardo Harris,53,125.79,6666.87,Regular,Sea,In Transit,WB-22999,Temperature Sensitive,ICU,REQ-6942,BATCH-12016,2025-07-27,Frozen,Pending,Cold Storage
ISS-000036,LPO-001922,MED-ISS-7197,2025-10-12,Clinic,REC-9061,Dustin Harvey,32,484.55,15505.6,Donation,Courier,Delivered,WB-75740,,ER,REQ-9258,BATCH-16090,2025-12-31,Frozen,Failed,Dispatch Center
ISS-000037,LPO-001802,MED-ISS-3783,2025-08-15,Government Agency,REC-4845,Derek Brooks,72,263.96,19005.12,Return,Courier,Pending,WB-94693,Controlled Substance,OPD,REQ-7250,BATCH-40263,2025-11-02,Frozen,Failed,Satellite Store
ISS-000038,LPO-003716,MED-ISS-8770,2025-05-08,Clinic,REC-4448,Angela Malone,68,185.38,12605.84,Emergency,Air,Delivered,WB-22378,Temperature Sensitive,OPD,REQ-1752,BATCH-38686,2026-04-18,Cold Chain,Conditional,Dispatch Center
ISS-000039,LPO-004200,MED-ISS-3614,2025-11-16,NGO,REC-4834,Brittney Johnson,11,397.95,4377.45,Regular,Sea,Delivered,WB-17807,,ER,REQ-4857,BATCH-91278,2026-05-15,Frozen,Pending,Cold Storage
ISS-000040,LPO-005014,MED-ISS-4230,2025-02-27,Government Agency,REC-5510,Kendra Mendoza,16,351.62,5625.92,Regular,Air,Pending,WB-29770,Controlled Substance,Surgery,REQ-5143,BATCH-78848,2025-05-15,Refrigerated,Failed,Dispatch Center
ISS-000041,LPO-005400,MED-ISS-6384,2024-12-27,Government Agency,REC-1466,Travis Atkins,99,307.99,30491.01,Return,Road,Delivered,WB-67497,,Maternity,REQ-2603,BATCH-46104,2025-06-24,Room Temperature,Failed,Dispatch Center
ISS-000042,LPO-006149,MED-ISS-2208,2025-12-24,Hospital,REC-4639,Alexander Thomas,27,461.81,12468.87,Donation,Sea,Partially Delivered,WB-25032,Fragile,OPD,REQ-7642,BATCH-65912,2026-05-15,Cold Chain,Failed,Main Warehouse
ISS-000043,LPO-002404,MED-ISS-2918,2025-09-23,NGO,REC-4125,Johnny May,88,266.29,23433.52,Regular,Road,Partially Delivered,WB-25320,Urgent,Pediatrics,REQ-7218,BATCH-96373,2026-03-03,Cold Chain,Passed,Satellite Store
ISS-000044,LPO-005980,MED-ISS-4434,2025-01-14,Government Agency,REC-5356,Janet Santos,100,289.5,28950.0,Loan,Courier,In Transit,WB-65326,Fragile,Laboratory,REQ-8586,BATCH-61938,2025-05-13,Cold Chain,Conditional,Main Warehouse
ISS-000045,LPO-001960,MED-ISS-8753,2025-10-30,Clinic,REC-7388,Jason Smith,90,82.1,7389.0,Emergency,Road,Pending,WB-99419,Controlled Substance,ER,REQ-9679,BATCH-87879,2026-04-27,Refrigerated,Passed,Main Warehouse
ISS-000046,LPO-006175,MED-ISS-6568,2025-07-09,Clinic,REC-3247,Ebony Howell,96,259.6,24921.6,Return,Road,Pending,WB-77176,Temperature Sensitive,Laboratory,REQ-7892,BATCH-20230,2025-09-14,Refrigerated,Passed,Cold Storage
ISS-000047,LPO-003546,MED-ISS-1714,2025-11-26,Clinic,REC-5122,Timothy Bowen,50,388.63,19431.5,Loan,Air,Delivered,WB-32639,,OPD,REQ-4676,BATCH-72945,2026-07-24,Room Temperature,Passed,Cold Storage
ISS-000048,LPO-002898,MED-ISS-7369,2025-01-14,NGO,REC-2437,Amanda Spears,22,10.62,233.64,Donation,Sea,Delivered,WB-77951,,Laboratory,REQ-4824,BATCH-23784,2025-10-17,Frozen,Failed,Cold Storage
ISS-000049,LPO-006431,MED-ISS-7713,2025-01-07,Hospital,REC-9986,Jacqueline Young,65,219.3,14254.5,Regular,Sea,Delivered,WB-71869,Temperature Sensitive,ICU,REQ-9746,BATCH-96125,2025-03-11,Frozen,Failed,Main Warehouse
ISS-000050,LPO-005239,MED-ISS-4710,2025-06-08,Clinic,REC-1003,Jimmy Herrera,43,6.97,299.71,Donation,Courier,In Transit,WB-43218,,OPD,REQ-4195,BATCH-89509,2026-04-23,Cold Chain,Pending,Satellite Store
ISS-000051,LPO-005938,MED-ISS-4397,2025-09-20,Hospital,REC-5139,Jeffrey Ritter,57,120.43,6864.51,Regular,Air,Pending,WB-62826,,ICU,REQ-3704,BATCH-30313,2026-06-03,Cold Chain,Pending,Main Warehouse
ISS-000052,LPO-006262,MED-ISS-2211,2025-04-25,Clinic,REC-9652,Bailey Barry,10,287.1,2871.0,Loan,Road,Partially Delivered,WB-62099,,Maternity,REQ-8272,BATCH-77043,2025-09-29,Frozen,Conditional,Dispatch Center
ISS-000053,LPO-002224,MED-ISS-7858,2025-12-23,NGO,REC-6756,Danny Bauer,69,200.8,13855.2,Loan,Courier,Pending,WB-70785,Urgent,Surgery,REQ-9207,BATCH-61963,2026-07-06,Room Temperature,Conditional,Main Warehouse
ISS-000054,LPO-004933,MED-ISS-4067,2025-12-23,Government Agency,REC-5447,Corey Woods,64,404.34,25877.76,Regular,Road,In Transit,WB-15215,Fragile,ICU,REQ-4358,BATCH-26957,2026-10-04,Frozen,Conditional,Dispatch Center
ISS-000055,LPO-005117,MED-ISS-1198,2025-12-17,Hospital,REC-1403,Rick Jackson,74,157.48,11653.52,Return,Courier,Delivered,WB-20921,Controlled Substance,ICU,REQ-3011,BATCH-64174,2026-10-21,Frozen,Failed,Dispatch Center
ISS-000056,LPO-006169,MED-ISS-4452,2025-09-10,Hospital,REC-4970,Amanda Dalton,22,412.19,9068.18,Emergency,Courier,Delivered,WB-43207,,Laboratory,REQ-9959,BATCH-38272,2026-02-09,Frozen,Pending,Dispatch Center
ISS-000057,LPO-006117,MED-ISS-2139,2025-02-10,NGO,REC-6963,Kristen Wiggins,29,350.99,10178.71,Donation,Courier,In Transit,WB-20030,,ER,REQ-2943,BATCH-74004,2025-04-13,Cold Chain,Pending,Satellite Store
ISS-000058,LPO-001075,MED-ISS-8211,2025-09-14,Clinic,REC-9230,Richard Johnson,42,179.5,7539.0,Emergency,Road,Pending,WB-11280,Urgent,Maternity,REQ-2613,BATCH-37679,2026-03-01,Frozen,Failed,Dispatch Center
ISS-000059,LPO-000214,MED-VAC-8802,2025-02-20,NGO,REC-7973,Joseph Rodriguez,18,242.8,4370.4,Regular,Courier,In Transit,WB-20488,Fragile,Surgery,REQ-4875,BATCH-77855,2025-05-18,Cold Chain,Failed,Main Warehouse
ISS-000060,LPO-005714,MED-ISS-8352,2025-09-18,NGO,REC-9012,Jennifer Butler,86,100.31,8626.66,Emergency,Sea,In Transit,WB-77626,Urgent,ICU,REQ-5867,BATCH-33224,2026-02-04,Frozen,Conditional,Satellite Store
ISS-000061,LPO-002587,MED-ISS-9388,2025-03-01,Government Agency,REC-8138,Kendra Buckley,16,433.65,6938.4,Donation,Sea,Delivered,WB-93332,,OPD,REQ-1440,BATCH-86660,2025-05-04,Room Temperature,Conditional,Main Warehouse
ISS-000062,LPO-005100,MED-ISS-9145,2025-04-25,Hospital,REC-4552,Christina Schmidt,83,361.6,30012.8,Return,Sea,Partially Delivered,WB-61280,,Maternity,REQ-6929,BATCH-73821,2026-02-28,Frozen,Pending,Dispatch Center
ISS-000063,LPO-005982,MED-ISS-9324,2025-11-25,Government Agency,REC-4965,Tiffany Hayden,40,480.19,19207.6,Donation,Air,Pending,WB-94392,Controlled Substance,Surgery,REQ-2507,BATCH-43035,2026-10-25,Cold Chain,Passed,Dispatch Center
ISS-000064,LPO-006054,MED-ISS-1186,2025-11-13,NGO,REC-1547,Katherine Fuentes,73,450.89,32914.97,Donation,Sea,In Transit,WB-63667,Urgent,ICU,REQ-7411,BATCH-69999,2026-05-29,Room Temperature,Passed,Dispatch Center
ISS-000065,LPO-005990,MED-ISS-6796,2025-03-27,Government Agency,REC-6789,Miranda Estrada,61,174.54,10646.94,Regular,Courier,Pending,WB-14932,Urgent,Pediatrics,REQ-1573,BATCH-41954,2025-12-23,Room Temperature,Failed,Main Warehouse
ISS-000066,LPO-005885,MED-ISS-6589,2025-06-19,Hospital,REC-1581,James Allen,51,97.53,4974.03,Regular,Courier,In Transit,WB-61214,,Laboratory,REQ-9949,BATCH-11501,2026-02-09,Frozen,Conditional,Main Warehouse
ISS-000067,LPO-005205,MED-ISS-4315,2025-02-13,NGO,REC-1646,Patricia Mcguire,95,321.95,30585.25,Emergency,Road,Delivered,WB-89988,Controlled Substance,ICU,REQ-5750,BATCH-73950,2025-09-28,Cold Chain,Failed,Satellite Store
ISS-000068,LPO-003113,MED-ISS-9322,2025-03-12,Pharmacy,REC-6109,Tina Thompson,97,234.16,22713.52,Donation,Air,In Transit,WB-79085,Urgent,Laboratory,REQ-6554,BATCH-85946,2025-06-02,Room Temperature,Passed,Main Warehouse
ISS-000069,LPO-002656,MED-ISS-9567,2025-03-26,NGO,REC-8013,Lauren Chavez,26,29.04,755.04,Regular,Courier,Delivered,WB-61971,Urgent,ER,REQ-1363,BATCH-31394,2025-07-12,Frozen,Conditional,Cold Storage
ISS-000070,LPO-005242,MED-ISS-8353,2025-06-26,Hospital,REC-5282,David Garcia,47,167.45,7870.15,Return,Sea,In Transit,WB-13677,Controlled Substance,Maternity,REQ-8266,BATCH-79715,2025-10-30,Frozen,Failed,Dispatch Center
ISS-000071,LPO-001521,MED-ISS-8974,2025-05-24,NGO,REC-8561,Kenneth Jennings,6,219.86,1319.16,Donation,Courier,Pending,WB-81790,Temperature Sensitive,Maternity,REQ-7103,BATCH-10552,2026-01-14,Refrigerated,Passed,Main Warehouse
ISS-000072,LPO-006582,MED-ISS-8095,2025-10-03,Hospital,REC-5344,Ann Fuller,29,80.74,2341.46,Loan,Air,Partially Delivered,WB-51510,Urgent,Maternity,REQ-8647,BATCH-47536,2026-03-25,Cold Chain,Passed,Cold Storage
ISS-000073,LPO-001690,MED-ISS-4223,2025-03-19,NGO,REC-8907,Charles Duncan,21,314.86,6612.06,Return,Road,Delivered,WB-31557,Fragile,ICU,REQ-9538,BATCH-32990,2025-08-27,Cold Chain,Pending,Main Warehouse
ISS-000074,LPO-005685,MED-ISS-5249,2025-09-04,Hospital,REC-6715,Erik Baxter,97,461.39,44754.83,Return,Courier,In Transit,WB-20705,,ER,REQ-4255,BATCH-85969,2026-07-19,Room Temperature,Pending,Cold Storage
ISS-000075,LPO-006510,MED-ISS-3087,2025-04-23,Clinic,REC-5493,David Jones,98,69.72,6832.56,Donation,Courier,Pending,WB-91110,Temperature Sensitive,ER,REQ-5811,BATCH-60801,2026-01-09,Room Temperature,Conditional,Satellite Store
ISS-000076,LPO-006604,MED-ISS-3768,2025-11-16,Hospital,REC-8394,Mr. Larry Williams,58,16.16,937.28,Loan,Road,In Transit,WB-45047,Controlled Substance,ICU,REQ-3689,BATCH-75552,2026-04-13,Cold Chain,Conditional,Satellite Store
ISS-000077,LPO-003051,MED-ISS-7412,2025-02-17,Government Agency,REC-5809,Pamela Lee,23,401.55,9235.65,Regular,Air,Pending,WB-37162,Controlled Substance,Pediatrics,REQ-5638,BATCH-22600,2025-04-19,Room Temperature,Failed,Satellite Store
ISS-000078,LPO-002608,MED-ISS-7552,2025-11-26,Pharmacy,REC-3703,Paul Owens,68,372.6,25336.8,Donation,Air,In Transit,WB-23953,Temperature Sensitive,Surgery,REQ-5185,BATCH-47512,2026-05-07,Cold Chain,Failed,Dispatch Center
ISS-000079,LPO-000389,MED-ANT-5263,2025-05-07,NGO,REC-2471,Mrs. Theresa Anderson,26,344.06,8945.56,Donation,Road,Delivered,WB-45847,,ER,REQ-5008,BATCH-92411,2026-04-25,Cold Chain,Failed,Cold Storage
ISS-000080,LPO-002629,MED-ISS-1441,2025-09-23,Clinic,REC-7921,Mr. Dave Cain DVM,13,349.13,4538.69,Emergency,Air,Partially Delivered,WB-96002,Controlled Substance,Maternity,REQ-8156,BATCH-48832,2026-05-29,Room Temperature,Passed,Cold Storage
ISS-000081,LPO-006853,MED-ISS-7622,2025-10-07,NGO,REC-7120,Mr. Joshua Russell,49,354.7,17380.3,Emergency,Air,In Transit,WB-60843,Urgent,Pediatrics,REQ-2511,BATCH-19301,2026-04-01,Cold Chain,Pending,Satellite Store
ISS-000082,LPO-002737,MED-ISS-7607,2025-09-11,Hospital,REC-4121,Ashley Jackson,96,400.39,38437.44,Return,Air,Delivered,WB-63598,,Maternity,REQ-5419,BATCH-17797,2025-11-06,Room Temperature,Failed,Main Warehouse
ISS-000083,LPO-000720,MED-ISS-5257,2025-02-22,Government Agency,REC-3049,Sean David,52,371.58,19322.16,Donation,Air,Pending,WB-36102,,ICU,REQ-2693,BATCH-78692,2025-09-02,Frozen,Pending,Main Warehouse
ISS-000084,LPO-005814,MED-ISS-3970,2025-11-07,Clinic,REC-4788,Brian Frye,41,301.85,12375.85,Donation,Sea,Pending,WB-58728,Controlled Substance,Maternity,REQ-3534,BATCH-80670,2025-12-19,Room Temperature,Failed,Main Warehouse
ISS-000085,LPO-005331,MED-ISS-2002,2025-12-08,Government Agency,REC-8029,Tonya Kane,79,270.99,21408.21,Donation,Courier,Pending,WB-56862,Controlled Substance,Maternity,REQ-4473,BATCH-67760,2026-11-07,Room Temperature,Pending,Dispatch Center
ISS-000086,LPO-003652,MED-ISS-9405,2025-04-19,Government Agency,REC-5460,Christina Davis,95,154.51,14678.45,Loan,Road,Pending,WB-89064,Urgent,Pediatrics,REQ-6474,BATCH-76068,2025-11-07,Cold Chain,Passed,Satellite Store
ISS-000087,LPO-005645,MED-ISS-4124,2025-05-29,Clinic,REC-3421,Samantha Cordova,81,88.64,7179.84,Donation,Sea,In Transit,WB-17638,Temperature Sensitive,Maternity,REQ-9314,BATCH-50398,2025-08-01,Room Temperature,Passed,Main Warehouse
ISS-000088,LPO-006464,MED-ISS-1134,2025-07-17,Government Agency,REC-3458,Vincent Gallegos,90,418.73,37685.7,Regular,Road,Partially Delivered,WB-84189,Urgent,ER,REQ-9293,BATCH-19634,2026-05-26,Frozen,Failed,Dispatch Center
ISS-000089,LPO-004817,MED-ISS-7398,2025-10-11,NGO,REC-6656,Darrell Castro,19,387.55,7363.45,Regular,Courier,Partially Delivered,WB-96209,Fragile,Pediatrics,REQ-8457,BATCH-43139,2026-04-01,Refrigerated,Passed,Satellite Store
ISS-000090,LPO-005921,MED-ISS-5207,2025-08-23,Hospital,REC-3040,Bobby Zamora,82,126.63,10383.66,Regular,Sea,Partially Delivered,WB-15647,,Surgery,REQ-1380,BATCH-94276,2025-12-19,Frozen,Pending,Satellite Store
ISS-000091,LPO-006413,MED-ISS-9268,2025-03-25,Clinic,REC-5815,Miranda Levy,46,341.72,15719.12,Donation,Courier,Delivered,WB-71416,Urgent,Maternity,REQ-5211,BATCH-34904,2025-04-30,Cold Chain,Failed,Cold Storage
ISS-000092,LPO-000043,MED-VAC-3839,2025-11-10,Pharmacy,REC-9089,Barbara Clark,23,122.29,2812.67,Donation,Air,Partially Delivered,WB-68958,Fragile,OPD,REQ-2150,BATCH-80207,2025-12-13,Cold Chain,Failed,Cold Storage
ISS-000093,LPO-001431,MED-ISS-9971,2025-05-31,Pharmacy,REC-3133,Christopher Wood,85,299.63,25468.55,Loan,Road,Delivered,WB-16522,Fragile,ER,REQ-9789,BATCH-91733,2025-07-28,Frozen,Passed,Dispatch Center
ISS-000094,LPO-005418,MED-ISS-9863,2025-06-12,Government Agency,REC-1584,Jose Roberts,68,434.69,29558.92,Emergency,Courier,Delivered,WB-13492,Urgent,ICU,REQ-1645,BATCH-63260,2025-07-22,Refrigerated,Failed,Main Warehouse
ISS-000095,LPO-006147,MED-ISS-3090,2025-07-16,Hospital,REC-9916,Paul Drake,10,8.68,86.8,Emergency,Air,Delivered,WB-64034,Controlled Substance,Surgery,REQ-6662,BATCH-12576,2025-10-17,Frozen,Pending,Cold Storage
ISS-000096,LPO-001289,MED-ISS-8362,2025-09-12,Pharmacy,REC-1924,Nicholas Lambert,20,92.26,1845.2,Return,Sea,In Transit,WB-42790,Urgent,Pediatrics,REQ-2610,BATCH-59475,2025-11-20,Refrigerated,Conditional,Dispatch Center
ISS-000097,LPO-005759,MED-ISS-8672,2025-11-28,Clinic,REC-1921,Brian Powell,39,349.09,13614.51,Regular,Air,In Transit,WB-56657,Controlled Substance,Laboratory,REQ-4593,BATCH-60970,2026-11-23,Frozen,Failed,Dispatch Center
ISS-000098,LPO-005199,MED-ISS-3212,2025-09-05,Hospital,REC-3504,Dr. Patrick Strickland,46,429.95,19777.7,Donation,Sea,Delivered,WB-35876,,OPD,REQ-5635,BATCH-79049,2026-01-21,Cold Chain,Passed,Dispatch Center
ISS-000099,LPO-002330,MED-ISS-2886,2025-02-13,Government Agency,REC-4537,James Campos,78,319.4,24913.2,Regular,Road,Partially Delivered,WB-83694,Fragile,Surgery,REQ-2758,BATCH-49027,2025-12-15,Refrigerated,Pending,Cold Storage
ISS-000100,LPO-004666,MED-ISS-4926,2025-02-20,NGO,REC-1508,Monica Lewis,88,225.5,19844.0,Regular,Road,Pending,WB-65206,Urgent,Surgery,REQ-1649,BATCH-41344,2025-11-16,Cold Chain,Failed,Dispatch Center
ISS-000101,LPO-004751,MED-ISS-9206,2025-08-26,Hospital,REC-4685,Shannon Smith,34,189.0,6426.0,Regular,Road,Partially Delivered,WB-84223,Urgent,Maternity,REQ-4457,BATCH-14744,2026-08-25,Room Temperature,Failed,Dispatch Center
ISS-000102,LPO-003091,MED-ISS-2540,2025-05-02,Government Agency,REC-4921,Connie Gardner,8,311.89,2495.12,Return,Courier,Delivered,WB-16460,Urgent,Pediatrics,REQ-9635,BATCH-18440,2026-04-12,Frozen,Passed,Main Warehouse
ISS-000103,LPO-005404,MED-ISS-3501,2025-09-11,Government Agency,REC-8823,Rhonda Jackson,29,343.09,9949.61,Loan,Road,Delivered,WB-99184,Controlled Substance,Surgery,REQ-9576,BATCH-58036,2026-08-13,Refrigerated,Pending,Cold Storage
ISS-000104,LPO-005342,MED-ISS-6140,2025-01-08,Hospital,REC-8045,Aaron Coleman,14,98.91,1384.74,Donation,Courier,Pending,WB-68215,Controlled Substance,Surgery,REQ-5756,BATCH-14733,2025-07-25,Cold Chain,Pending,Main Warehouse
